Feature Selection Method : ANOVA F-Test (Filter)
Method Key               : filter_anova
Dataset                  : GSE19804
Timestamp                : 20260804_080905
Original Feature Space   : 54675
Features Selected        : 19540
Dimensionality Reduction : 64.26%
============================================================
Index      Feature Name
------------------------------------------------------------
0          1007_s_at
1          1053_at
4          1255_g_at
7          1320_at
8          1405_i_at
10         1438_at
11         1487_at
14         1552257_a_at
16         1552261_at
17         1552263_at
18         1552264_a_at
21         1552271_at
23         1552274_at
24         1552275_s_at
27         1552278_a_at
28         1552279_a_at
30         1552281_at
32         1552286_at
34         1552288_at
35         1552289_a_at
36         1552291_at
37         1552293_at
41         1552301_a_at
44         1552304_at
46         1552307_a_at
47         1552309_a_at
49         1552311_a_at
52         1552315_at
53         1552316_a_at
54         1552318_at
56         1552320_a_at
57         1552321_a_at
60         1552325_at
61         1552326_a_at
64         1552330_at
68         1552337_s_at
81         1552364_s_at
82         1552365_at
83         1552367_a_at
88         1552375_at
89         1552377_s_at
92         1552381_at
94         1552384_a_at
95         1552386_at
96         1552388_at
97         1552389_at
98         1552390_a_at
104        1552398_a_at
107        1552401_a_at
121        1552422_at
126        1552427_at
128        1552432_at
132        1552440_at
133        1552445_a_at
147        1552467_at
151        1552473_at
152        1552474_a_at
154        1552477_a_at
166        1552493_s_at
168        1552496_a_at
170        1552498_at
171        1552499_a_at
172        1552501_a_at
173        1552502_s_at
179        1552509_a_at
181        1552511_a_at
185        1552518_s_at
186        1552519_at
188        1552521_a_at
191        1552524_at
195        1552532_a_at
198        1552538_a_at
201        1552542_s_at
204        1552546_a_at
208        1552553_a_at
209        1552554_a_at
216        1552564_at
218        1552568_at
219        1552569_a_at
221        1552572_a_at
223        1552575_a_at
225        1552578_a_at
229        1552583_s_at
230        1552584_at
237        1552594_at
244        1552607_at
252        1552616_a_at
254        1552618_at
255        1552619_a_at
256        1552620_at
259        1552623_at
266        1552631_a_at
271        1552639_at
272        1552641_s_at
279        1552652_at
282        1552658_a_at
284        1552661_at
285        1552662_a_at
287        1552664_at
290        1552667_a_at
293        1552671_a_at
294        1552672_a_at
300        1552678_a_at
301        1552680_a_at
302        1552682_a_at
307        1552689_at
309        1552691_at
315        1552701_a_at
316        1552703_s_at
317        1552705_at
319        1552711_a_at
323        1552715_a_at
332        1552726_at
333        1552727_s_at
337        1552732_at
338        1552733_at
341        1552736_a_at
343        1552738_a_at
345        1552740_at
346        1552742_at
349        1552747_a_at
350        1552749_a_at
352        1552751_a_at
